riotIdGameName,kills,deaths,assists,KDA,round,role
Team_06,2,2,5,3.5,Round_01,ADC
Team_08,3,3,11,4.67,Round_01,ADC
Team_02,1,0,2,3.0,Round_01,ADC
Team_01,2,1,1,3.0,Round_01,ADC
Team_07,3,2,2,2.5,Round_01,ADC
Team_03,10,0,4,14.0,Round_01,ADC
Team_05,2,3,4,2.0,Round_01,ADC
Team_04,4,4,7,2.75,Round_01,ADC
Team_10,6,1,2,8.0,Round_01,ADC
Team_09,3,2,5,4.0,Round_01,ADC
Team_06,4,3,5,3.0,Round_01,JGL
Team_08,5,1,10,15.0,Round_01,JGL
Team_02,2,2,5,3.5,Round_01,JGL
Team_01,1,2,3,2.0,Round_01,JGL
Team_07,1,5,4,1.0,Round_01,JGL
Team_03,0,2,14,7.0,Round_01,JGL
Team_05,5,4,4,2.25,Round_01,JGL
Team_04,0,3,10,3.33,Round_01,JGL
Team_10,2,0,6,8.0,Round_01,JGL
Team_09,3,1,2,5.0,Round_01,JGL
Team_06,1,1,8,9.0,Round_01,MID
Team_08,1,3,11,4.0,Round_01,MID
Team_02,2,1,1,3.0,Round_01,MID
Team_01,1,1,3,4.0,Round_01,MID
Team_07,3,2,6,4.5,Round_01,MID
Team_03,2,3,9,3.67,Round_01,MID
Team_05,3,2,6,4.5,Round_01,MID
Team_04,3,2,10,6.5,Round_01,MID
Team_10,1,2,8,4.5,Round_01,MID
Team_09,2,2,4,3.0,Round_01,MID
Team_06,0,4,11,2.75,Round_01,SUP
Team_08,6,3,9,5.0,Round_01,SUP
Team_02,0,0,5,5.0,Round_01,SUP
Team_01,0,4,2,0.5,Round_01,SUP
Team_07,0,3,6,2.0,Round_01,SUP
Team_03,0,2,10,5.0,Round_01,SUP
Team_05,1,5,5,1.2,Round_01,SUP
Team_04,0,1,18,18.0,Round_01,SUP
Team_10,1,3,9,3.33,Round_01,SUP
Team_09,0,2,8,4.0,Round_01,SUP
Team_06,4,8,3,0.88,Round_01,TOP
Team_08,3,1,7,10.0,Round_01,TOP
Team_02,5,1,3,8.0,Round_01,TOP
Team_01,0,2,2,1.0,Round_01,TOP
Team_07,2,3,5,2.33,Round_01,TOP
Team_03,3,2,6,4.5,Round_01,TOP
Team_05,1,4,2,0.75,Round_01,TOP
Team_04,11,2,6,8.5,Round_01,TOP
Team_10,0,3,6,2.0,Round_01,TOP
Team_09,1,3,6,2.33,Round_01,TOP
Team_01,6,1,2,8.0,Round_02,ADC
Team_07,1,1,2,3.0,Round_02,ADC
Team_04,0,1,8,8.0,Round_02,ADC
Team_10,4,0,7,11.0,Round_02,ADC
Team_08,6,3,4,3.33,Round_02,ADC
Team_02,9,1,6,15.0,Round_02,ADC
Team_03,2,2,2,2.0,Round_02,ADC
Team_05,3,1,2,5.0,Round_02,ADC
Team_09,6,4,4,2.5,Round_02,ADC
